data_path
reset world
reset world
Environment: Model
Day	mass	fat	intake	large	small	home_range
1	42.20	10.95	6.77	334	1147	732.96
2	42.20	10.88	13.36	334	1147	732.96
3	42.20	10.80	13.36	334	1147	732.96
4	42.20	10.73	13.36	334	1147	732.96
5	44.40	11.17	13.36	366	1256	803.17
6	44.40	11.09	13.94	366	1256	803.17
7	44.40	11.01	13.94	366	1256	803.17
8	44.40	10.93	13.94	366	1257	803.17
9	44.40	10.86	13.94	366	1257	803.17
10	46.60	11.70	13.94	399	1370	876.22
11	46.60	11.62	14.52	399	1370	876.22
12	46.60	11.54	14.52	399	1370	876.22
13	46.60	11.46	14.52	400	1370	876.22
14	48.80	12.29	14.52	434	1487	952.08
15	48.80	12.20	15.11	434	1488	952.08
16	48.80	12.12	15.11	434	1488	952.08
17	48.80	12.04	15.11	434	1488	952.08
18	48.80	11.95	15.11	434	1488	952.08
19	51.00	12.75	15.11	469	1610	1030.73
20	51.00	12.66	15.69	469	1610	1030.73
21	51.00	12.57	15.69	469	1610	1030.73
22	51.00	12.49	15.69	469	1610	1030.73
23	51.00	12.40	15.69	469	1610	1030.73
24	53.20	13.21	15.69	506	1737	1112.14
25	53.20	13.12	16.27	506	1738	1112.14
26	53.20	13.03	16.27	506	1738	1112.14
27	53.20	12.94	16.27	506	1738	1112.14
28	53.20	12.86	16.27	506	1738	1112.14
29	55.40	13.41	16.27	544	1869	1196.29
30	55.40	13.32	16.84	544	1869	1196.29
31	55.40	13.23	16.84	545	1869	1196.29
32	55.40	13.14	16.84	545	1869	1196.29
33	57.60	13.92	16.84	584	2004	1283.16
34	57.60	13.83	17.42	584	2004	1283.16
35	57.60	13.73	17.42	584	2004	1283.16
36	57.60	13.64	17.42	584	2004	1283.16
37	57.60	13.55	17.42	584	2004	1283.16
38	59.80	14.27	17.42	624	2143	1372.72
39	59.80	14.17	18.00	624	2143	1372.72
40	59.80	14.07	18.00	624	2144	1372.72
41	59.80	13.98	18.00	624	2144	1372.72
42	59.80	13.88	18.00	624	2145	1372.72
43	62.00	14.11	18.00	666	2289	1464.96
44	62.00	14.01	18.57	666	2289	1464.96
45	62.00	13.91	18.57	666	2289	1464.96
46	62.00	13.81	18.57	666	2289	1464.96
47	62.00	13.71	18.57	666	2290	1464.96
48	64.20	14.22	18.57	709	2438	1559.85
49	64.20	14.12	19.15	709	2438	1559.85
50	64.20	14.02	19.15	709	2438	1559.85
51	64.20	13.92	19.15	709	2438	1559.85
52	64.20	13.81	19.15	709	2438	1559.85
53	66.40	14.50	19.15	753	2589	1657.38
54	66.40	14.40	19.73	753	2589	1657.38
55	66.40	14.29	19.73	753	2589	1657.38
56	66.40	14.19	19.73	753	2589	1657.38
57	66.40	14.08	19.73	753	2589	1657.38
58	68.60	14.55	19.73	798	2744	1757.53
59	68.60	14.45	20.30	798	2744	1757.53
60	68.60	14.34	20.30	798	2744	1757.53
61	68.60	14.23	20.30	798	2744	1757.53
62	68.60	14.13	20.30	798	2744	1757.53
63	70.80	14.85	20.30	844	2905	1860.28
64	70.80	14.74	20.87	844	2905	1860.28
65	70.80	14.63	20.87	844	2905	1860.28
66	70.80	14.52	20.87	844	2905	1860.28
67	70.80	14.41	20.87	844	2905	1860.28
68	73.00	15.12	20.87	892	3069	1965.62
69	73.00	15.01	21.45	892	3069	1965.62
70	73.00	14.90	21.45	892	3069	1965.62
71	73.00	14.79	21.45	892	3069	1965.62
72	73.00	14.67	21.45	892	3069	1965.62
73	75.20	15.35	21.45	941	3237	2073.53
74	75.20	15.23	22.02	941	3238	2073.53
75	75.20	15.12	22.02	941	3238	2073.53
76	75.20	15.00	22.02	941	3238	2073.53
77	75.20	14.89	22.02	941	3238	2073.53
78	75.20	14.77	22.02	941	3238	2073.53
79	79.60	14.74	22.02	1043	3586	2297.01
80	79.60	14.62	23.16	1044	3587	2297.01
81	79.60	14.50	23.16	1044	3587	2297.01
82	79.60	14.38	23.16	1044	3588	2297.01
83	79.60	14.26	23.16	1044	3589	2297.01
84	84.00	15.73	23.16	1150	3953	2530.59
85	84.00	15.60	24.31	1150	3953	2530.59
86	84.00	15.48	24.31	1150	3953	2530.59
87	84.00	15.35	24.31	1150	3954	2530.59
88	84.00	15.23	24.31	1150	3954	2530.59
89	88.40	16.65	24.31	1261	4334	2774.17
90	88.40	16.52	25.45	1261	4334	2774.17
91	88.40	16.39	25.45	1261	4334	2774.17
92	88.40	16.26	25.45	1261	4335	2774.17
93	88.40	16.13	25.45	1261	4336	2774.17
94	88.40	16.01	25.45	1261	4336	2774.17
95	92.80	16.68	25.45	1376	4731	3027.65
96	92.80	16.55	26.59	1376	4731	3027.65
97	92.80	16.41	26.59	1376	4732	3027.65
98	92.80	16.28	26.59	1376	4732	3027.65
99	92.80	16.15	26.59	1376	4732	3027.65
100	97.20	17.44	26.59	1496	5143	3290.93
101	97.20	17.30	27.72	1496	5143	3290.93
102	97.20	17.16	27.72	1496	5143	3290.93
103	97.20	17.02	27.72	1496	5144	3290.93
104	97.20	16.88	27.72	1496	5145	3290.93
105	101.60	18.17	27.72	1620	5571	3563.92
106	101.60	18.02	28.86	1620	5572	3563.92
107	101.60	17.88	28.86	1620	5572	3563.92
108	101.60	17.73	28.86	1620	5572	3563.92
109	101.60	17.59	28.86	1620	5572	3563.92
110	101.60	17.45	28.86	1620	5572	3563.92
111	106.00	18.69	28.86	1749	6012	3846.54
112	106.00	18.55	30.00	1749	6012	3846.54
113	106.00	18.40	30.00	1749	6012	3846.54
114	106.00	18.25	30.00	1749	6012	3846.54
115	106.00	18.10	30.00	1749	6013	3846.54
116	106.00	17.95	30.00	1749	6013	3846.54
117	110.40	17.96	30.00	1882	6468	4138.70
118	110.40	17.80	31.13	1882	6468	4138.70
119	110.40	17.65	31.13	1882	6468	4138.70
120	110.40	17.50	31.13	1882	6468	4138.70
121	110.40	17.34	31.13	1882	6468	4138.70
122	146.40	34.77	31.13	3133	10762	6878.49
123	146.40	34.58	40.38	3133	10762	6878.49
124	146.40	34.39	40.38	3133	10762	6878.49
125	146.40	34.20	40.38	3133	10763	6878.49
126	146.40	34.01	40.38	3133	10764	6878.49
127	146.40	33.82	40.38	3133	10764	6878.49
128	150.80	34.16	40.38	3305	11352	7255.07
129	150.80	33.97	41.51	3305	11353	7255.07
130	150.80	33.77	41.51	3305	11353	7255.07
131	150.80	33.58	41.51	3305	11354	7255.07
132	150.80	33.39	41.51	3305	11354	7255.07
133	150.80	33.19	41.51	3305	11354	7255.07
134	155.20	33.44	41.51	3481	11956	7640.55
135	155.20	33.25	42.64	3482	11957	7640.55
136	155.20	33.05	42.64	3483	11957	7640.55
137	155.20	32.85	42.64	3483	11957	7640.55
138	155.20	32.65	42.64	3483	11957	7640.55
139	155.20	32.46	42.64	3483	11957	7640.55
140	159.60	33.30	42.64	3663	12572	8034.86
141	159.60	33.10	43.77	3663	12572	8034.86
142	159.60	32.90	43.77	3663	12572	8034.86
143	159.60	32.70	43.77	3663	12572	8034.86
144	159.60	32.49	43.77	3663	12572	8034.86
145	159.60	32.29	43.77	3663	12573	8034.86
146	195.60	49.46	43.77	5285	18140	11587.32
147	195.60	49.23	52.97	5285	18140	11587.32
148	195.60	48.99	52.97	5285	18140	11587.32
149	195.60	48.76	52.97	5286	18140	11587.32
150	195.60	48.52	52.97	5286	18140	11587.32
151	195.60	48.29	52.97	5286	18140	11587.32
